item.copper_pickaxe 铜镐
item.dynamite_block.desc 想爆炸吗！？
item.cactus_sword 仙人掌剑
item.wood_bow 木弓
item.slingshot 弹弓
item.arrow 箭
item.rock 石块
item.shuriken 手里剑
item.dart 飞镖
item.wand 魔杖
item.wand.desc 用于为命令选定两个点。
item.frozen_stone 冻结石
item.grass_tall_snowy 雪地高草
item.grass_tall_dry 干草
item.dead_bush 枯灌木
item.desert_bush 沙漠灌木
item.agave 龙舌兰
item.cactus_flower 仙人掌花
item.cactus_small 小仙人掌
item.cactus 仙人掌
item.maple_sapling 枫树树苗
item.oak_sapling 橡树树苗
item.birch_sapling 白桦树苗
item.frost_algae 霜藻
item.slime_algae 史莱姆藻
item.pine_leaves 松针
item.forest_pickaxe 森林镐
item.forest_pickaxe.desc 永远向下挖 :)
item.entwiner 连接器
item.entwiner.desc 用魔法将触发器连接至目标。
item.heart_beet 心甜菜
item.heart_beet.desc 最大生命值增加 1 颗心！
item.iron_chest 铁箱
item.gold_chest 金箱
item.dungeon_bricks 森林地牢砖
item.dungeon_grate 森林地牢格栅
item.dungeon_lamp 地牢灯
item.dungeon_lamp_blue 蓝色地牢灯
item.dungeon_pressure_plate 地牢压力板
item.dungeon_door 地牢门
item.pressure_plate 压力板
item.button 按钮
item.splitter 分线器
item.splitter.desc 将信号分至相邻方块。
item.pulser 脉冲器
item.pulser.desc 延长连接脉冲。
item.dart_trap 飞镖陷阱
item.dart_trap.desc 射出毒飞镖。

item.thorn_blade 荆棘之刃
item.regen_charm 再生之石
item.regen_charm.desc 每 4 秒恢复 1 点生命值。
item.jet_boots 喷气靴
item.jet_boots.desc 在空中跳跃以激活，拥有 1 秒燃料。
item.spring_boots 弹簧靴
item.spring_boots.desc 将跳跃高度提高至 2 米。
item.paraglider 滑翔伞
item.paraglider.desc 从高处缓慢下降。
item.jumping_bean 跳跳豆
item.jumping_bean.desc 近战伤害提高 20%，但有代价。
item.sneakers 运动鞋
item.sneakers.desc 让你能悄悄行动。
item.gecko_gloves 壁虎手套
item.gecko_gloves.desc 戴上这些手套可以攀爬表面。
item.speed_boots 冲刺靴
item.speed_boots.desc 穿上它们便有精力四处奔跑。
item.oak_log 橡木原木
item.pine_log 松木原木
item.pine_sapling 松树树苗
item.birch_planks 白桦木板
item.maple_planks 枫木木板
item.pine_planks 松木木板
item.framed_glass 框架玻璃
item.red_brick 红砖
item.lamp_cyan 青色灯
item.lamp_magenta 品红色灯
item.lamp_yellow 黄色灯
item.copper_bars 铜锭
item.iron_bars 铁锭
item.silver_bars 银锭
item.gold_bars 金锭
item.concrete 混凝土
item.concrete.desc 移动速度提高 1.2 倍
item.asphalt 沥青
item.asphalt.desc 移动速度提高 1.2 倍
item.thick_birch_log 粗白桦木原木
item.thick_maple_log 粗枫木原木
item.thick_oak_log 粗橡木原木
item.thick_pine_log 粗松木原木
item.trampoline 蹦床
item.trampoline.desc 让你弹得很高。
item.launch_pad 发射台
item.launch_pad.desc 将你发射到空中。
item.cloth 布料
item.cloth_light_grey 浅灰色布料
item.cloth_dark_grey 深灰色布料
item.cloth_black 黑色布料
item.cloth_red 红色布料
item.cloth_orange 橙色布料
item.cloth_yellow 黄色布料
item.cloth_lime 黄绿色布料
item.cloth_green 绿色布料
item.cloth_cyan 青色布料
item.cloth_blue 蓝色布料
item.cloth_dark_blue 深蓝色布料
item.cloth_purple 紫色布料
item.cloth_pink 粉色布料
item.cloth_light_pink 浅粉色布料
item.cloth_brown 棕色布料

item.weak_health_potion 弱效生命药水
item.weak_health_potion.desc 恢复 10 点生命值
item.poison_potion 毒药水
item.poison_potion.desc 不建议饮用！
item.speed_potion 速度药水
item.regen_potion 再生药水
item.regen_potion.desc 在 5 分钟内缓慢恢复生命。
item.armour_potion 护甲药水
item.armour_potion.desc 5 分钟内防御力提高 4 点。
item.respawn_potion 返回药水
item.respawn_potion.desc 返回药水
item.flight_potion 飞行药水
item.flight_potion.desc 让你在 1 分钟内进行短暂的火箭推进。
item.cure_cube 治疗方块
item.cure_cube.desc 装备后可免疫中毒。
item.cotton_plant 棉花植株
item.cotton_plant.desc 可种植和收获。
item.decoration_station 装饰台
item.decoration_station.desc 用于制作装饰方块。
item.dungeon_spawner 地牢刷怪笼
item.copper_bow 铜弓
item.iron_bow 铁弓
item.silver_bow 银弓
item.gold_bow 金弓
item.copper_crossbow 铜弩
item.iron_crossbow 铁弩
item.silver_crossbow 银弩
item.gold_crossbow 金弩
item.reinforced_arrow 强化箭
item.flaming_arrow 火焰箭
item.explosive_arrow 爆炸箭
item.root_arrow 箭根
item.rock_melon 岩瓜
item.watermelon 西瓜
item.brick 砖块
item.brick.desc 用来扔向你不喜欢的东西。
item.throwable_torch 黏附火把
item.throwable_torch.desc 可投掷以照亮洞穴。
item.squeaky_toy 吱吱玩具
item.whoopee_cushion 放屁坐垫
item.air_horn 气喇叭
item.glow_worms 萤光虫
item.heart_beet_block 心甜菜（方块）
item.sandstone_brick_small 小砂岩砖
item.toy_crate 玩具箱
item.sprinkler 洒水器
item.soil 干土壤
item.wet_soil 湿土壤
item.arrow_root_seed 箭根种子
item.bomb_berry_seed 炸弹莓种子
item.rock_melon_seed 岩瓜种子
item.watermelon_seed 西瓜种子
item.frying_pan 煎锅
item.boomerang 回旋镖
item.throwable_glow_bean 发光豆
item.watering_can 洒水壶
item.watering_can.desc 永远装满，因为魔法。
item.hoe 锄头
item.tomato 番茄
item.bread 面包
item.wheat 小麦
item.bomb_berry 炸弹莓
item.bomb_berry.desc 警告：请勿在屋内食用。
item.ominous_deer_skull 不祥的鹿头骨
item.oak_leaves 橡树叶
item.placed_glow_bean 发光豆（方块）
item.weapon_crate 武器箱
item.forest_chest 森林箱
item.tomato_seed 番茄种子
item.wheat_seed 小麦种子
item.glow_bean_seed 发光豆种子
item.weeds 杂草
item.spider_web 蜘蛛网
item.pizza_cutter 披萨刀
item.crowbar 撬棍
item.melon_slicer 切瓜刀
item.forest_axe 森林斧
item.snowball_cannon 雪球枪
item.snowball 雪球
item.forest_ingot 森林锭
item.eightball 八号球
item.dice 骰子
item.basketball 篮球
item.bucket 桶
item.water_bucket 水桶
item.lava_bucket 熔岩桶
item.sponge 海绵
item.lava_sponge 熔岩海绵
item.forest_blessing 森林祝福
item.forest_blessing.desc 额外获得 2 秒耐力。
item.minecart 矿车
item.minecart.desc 放在铁轨上即可乘坐。
item.underground_bush 灌丛
item.undergrowth_rock 灌丛岩石
item.forest_flower 森林之花
item.lava_lily 熔岩睡莲
item.bubble_glass 气泡玻璃
item.undergrowth_crate 灌丛箱
item.spike_trap 尖刺陷阱
item.dynamite_trap 炸药陷阱
item.basket_hoop 篮球架
item.rail 铁轨
item.painting_child 绘画元数据物品
item.painting_melon 绘画（甜瓜）
item.painting_melon.desc 静物画……还是自画像。
item.painting_triangle 绘画（三角形）
item.painting_triangle.desc 生命的基本构件。
item.painting_stars 绘画（星星）
item.painting_pipes 绘画（管道）
item.painting_cloud 绘画（粉色云朵）
item.painting_waves 绘画（波浪）
item.painting_biome 绘画（生物群系）
item.painting_deer 绘画（鹿）
item.spawn_pointer 重生指针
item.spawn_pointer.desc 右键点击以设置重生点。
item.forest_helmet 森林头盔
item.forest_chestplate 森林胸甲
item.forest_greaves 森林护腿
item.skull_fragment 头骨碎片

item.cobalt_pickaxe 钴镐
item.cobalt_sword 钴剑
item.arctic_blade 极地之刃
item.big_sword 巨剑
item.baguette 法棍面包
item.frosted_boomerang 冰霜回旋镖
item.cobalt_spear 钴矛
item.cobalt_axe 钴斧
item.cobalt_helmet 钴头盔
item.cobalt_chestplate 钴胸甲
item.cobalt_greaves 钴护腿
item.cobalt_bow 钴弓
item.cobalt_crossbow 钴弩
item.snowball_splitter 雪球分裂器
item.flamethrower 火焰喷射器
item.fart_gun 屁枪
item.cobalt_ingot 钴锭
item.copper_coin 铜代币
item.silver_coin 银代币
item.gold_coin 金代币
item.allumerium_coin 阿卢梅里姆代币
item.mining_potion 挖矿药水
item.mint 薄荷
item.red_meat 红肉
item.steak 牛排
item.red_mushroom_item 红蘑菇
item.glowing_mushroom_item 发光蘑菇
item.magnet 磁铁
item.magnet.desc 可吸引 4 米外的物品。
item.scuba_helmet 潜水头盔
item.scuba_helmet.desc 可在水下呼吸。
item.curse_of_core 核心诅咒
item.curse_of_core.desc 可能导致疼痛和痛苦。
item.cosmic_radiation 宇宙辐射
item.cosmic_radiation.desc 可能导致位翻转。
item.paint_roller 油漆滚筒
item.paint_roller_earthy 油漆滚筒（大地调色板）
item.paint_roller_pastel 油漆滚筒（粉彩调色板）
item.wallpaper 壁纸
item.wallpaper.desc 只能应用于石膏墙。
item.permafrost 永冻土
item.cobalt_ore 钴矿石
item.amethyst_ore 紫水晶
item.sapphire_ore 蓝宝石
item.diamond_ore 钻石
item.cobalt_plated_stone 镀钴石
item.alpha_shop Alpha 商店
item.alpha_shop.desc 已弃用方块
item.white_torch 白色火把
item.ice_crate 冰箱
item.ice_chest 冰箱
item.table 桌子
item.chair 椅子
item.basic_lamp 灯
item.snow_dungeon_bricks 雪地牢砖
item.snow_dungeon_lamp 雪地牢灯
item.pressure_plate_small 小压力板
item.icycle 冰柱
item.switch 开关
item.cobalt_bars 钴锭
item.drywall 石膏墙
item.cotton_candy 棉花糖
item.amethyst_block 紫水晶块
item.sapphire_block 蓝宝石块
item.diamond_block 钻石块
item.mint_seed 薄荷种子
item.painting_blue 绘画（蓝色）
item.painting_city 绘画（城市）
item.painting_desolate 绘画（荒凉）
item.painting_figure 绘画（人像）
item.painting_bird 绘画（鸟）
item.painting_undergrowth 绘画（灌丛）
item.structure_save 结构保存
item.structure_load 结构加载
item.structure_latch 结构锁扣
item.structure_marker 结构标记
item.structure_noreplace 结构不替换
item.fluid.empty 空流体
item.fluid.water 水
item.fluid.lava 熔岩
item.raygun_death 即死射线枪
item.ice_torch 冰火把
item.arcade_carpet 街机地毯
item.painting_snowman 绘画（雪人）
item.big_snowball 大雪球
item.big_snowball.desc 你想堆个雪人吗？
item.snow_boss_base 雪地首领底座
item.evil_tophat 邪恶高顶帽
item.evil_tophat.desc 可能创造生命。
item.blank_block 空白方块
item.grid_block 网格方块

item.carving_knife 雕刻刀
item.carving_knife.desc 用于雕刻南瓜。
item.spawn_fuzzy 生成毛球怪
item.spawn_fuzzy_green 生成森林毛球怪
item.spawn_fuzzy_ice 生成冰原毛球怪
item.spawn_hog 生成野猪
item.spawn_skeleton 生成骷髅
item.spawn_wizard 生成巫师
item.spawn_wizard_ice 生成冰巫师
item.spawn_mushroomer 生成蘑菇人
item.spawn_nightflyer 生成夜行飞兽
item.spawn_snowman 生成雪人
item.spawn_stone_golem 生成石傀儡
item.spawn_yeti 生成雪怪
item.spawn_zombie 生成僵尸
item.spawn_pukeko 生成普凯科鸟
item.poo_gem 粪便宝石
item.lush_grass 繁茂草
item.dry_grass 秋草
item.grass_tall_autumn 秋季高草
item.grass_tall_lush 繁茂高草
item.terracotta_tiles 陶瓦
item.ritual_torch 仪式火把
item.spawner_block 怪物刷怪笼
item.sign 告示牌
item.glass_sign 玻璃告示牌
item.screen_sign 屏幕告示牌
item.invisible_sign 隐形告示牌
item.carved_pumpkin 南瓜
item.pumpkin_seed 南瓜种子

item.basic_rod 基础鱼竿
item.basic_rod.desc 用于钓鱼！
item.sturdy_rod 坚固鱼竿
item.sturdy_rod.desc 可钓起更难上钩的鱼。
item.obsidian_rod 黑曜石鱼竿
item.obsidian_rod.desc 鱼都怕我。
item.water_walking_potion 水上行走药水
item.water_walking_potion.desc 让你在水上行走。
item.crate_potion 箱子药水
item.crate_potion.desc 提高钓到箱子的概率。
item.fish_fillet 鱼排
item.gormet_fish_fillet 美食鱼排
item.gormet_fish_fillet.desc 美味！
item.worm 蠕虫
item.worm.desc 用作鱼饵以吸引更稀有的鱼。
item.bug_bait 虫饵
item.bug_bait.desc 用作鱼饵以吸引更稀有的鱼。
item.rage_bait 狂怒鱼饵
item.rage_bait.desc 吸引更稀有的鱼，但会让它们更愤怒。
item.magnetic_bait 磁性鱼饵
item.magnetic_bait.desc 提高钓到箱子的概率。
item.fish_catfish 鲶鱼
item.fish_walleye 玻璃梭鲈
item.fish_carp 鲤鱼
item.fish_tuna 金枪鱼
item.fish_salmon 鲑鱼
item.fish_murray_cod 墨累鳕
item.fish_herring 鲱鱼
item.fish_minnow 米诺鱼
item.fish_lanternfish 灯笼鱼
item.fish_crystalfin 水晶鳍鱼
item.fish_fangtooth 尖牙鱼
item.fish_blobfish 水滴鱼
item.fish_nautilus 鹦鹉螺
item.fish_smoulderfish 闷燃鱼
item.fish_obsidieel 黑曜鳗
item.fish_stonefish 石鱼
item.fish_rainbow_trout 虹鳟
item.packed_dirt 夯实泥土
item.seaweed 海草
item.lilypad 睡莲叶
item.elevator 升降机
item.elevator.desc 跳跃或潜行以上下移动。

item.logic_wire 逻辑线
item.logic_gate 逻辑门
item.logic_repeater 逻辑中继器
item.logic_not 逻辑非门
item.logic_and 逻辑与门
item.logic_xor 逻辑异或门
item.logic_toggle 逻辑开关
item.logic_memory 逻辑存储器
item.logic_pixel 逻辑像素
item.painting_wreath 绘画（花环）

item.forest_hammer 森林锤
item.forest_hammer.desc 可塑造更坚固的方块。
item.door_locker 门锁
item.door_locker.desc 锁住门
item.forest_key 森林钥匙
item.forest_key.desc 解锁森林门
item.iron_key 铁钥匙
item.iron_key.desc 解锁普通门
item.jelly_spoon 果冻勺
item.jelly_spoon.desc 装备时可穿过森林果冻。
item.spoon_fragment 勺子碎片
item.spoon_fragment.desc 可组合成有用的东西。
item.dungeon_bricks_unstable 不稳定的森林地牢砖
item.dungeon_bricks_unstable.desc 踩上去会崩塌。
item.forest_jelly 森林果冻
item.forest_jelly.desc 有时是固体，有时不是。
item.bone_club 骨棒
item.boimp_potion Boimp 药水
item.hanging_vines 垂藤
item.hanging_flowers 垂花
item.myosotis 勿忘我
item.wallpaper_wood 木质壁板
item.wallpaper_stone 石质壁板
item.pebbles 鹅卵石
item.grassy_stone 长草石
item.wallpaperable_wood 壁纸基底（木）
item.wallpaperable_stone 壁纸基底（石）
item.bed 床

item.geode 晶洞
item.merchant_hat 商人帽
item.merchant_backpack 商人背包
item.palm_log 棕榈木原木
item.maple_bookshelf 枫木书架
item.street_lamp 路灯
item.npc_sign NPC 房屋告示牌

item.ice_pickaxe 冰镐
item.ice_pickaxe.desc 可挖掘钯
item.palladium_pickaxe 钯镐
item.palladium_sword 钯剑
item.cleaver 切肉刀
item.nightmare_blade 梦魇之刃
item.nightmare_blade.desc 这把剑真的很酷。
item.cursed_pickaxe 被诅咒的镐
item.cursed_pickaxe.desc 不是用来挖矿的！
item.compact_disc 光盘
item.compact_disc.desc 古老科技。
item.palladium_spear 钯矛
item.palladium_axe 钯斧
item.palladium_helmet 钯头盔
item.palladium_chestplate 钯胸甲
item.palladium_greaves 钯护腿
item.palladium_bow 钯弓
item.palladium_crossbow 钯弩
item.coconut_cannon 椰子炮
item.coconut_splitter 椰子分裂器
item.glass_cannon 玻璃大炮
item.shuriken_launcher 手里剑发射器
item.ice_arrow 冰箭
item.ice_arrow.desc 冻结目标
item.shock_arrow 电击箭
item.shock_arrow.desc 眩晕目标
item.palladium_arrow 钯箭
item.coconut 椰子
item.desert_shuriken 沙漠手里剑
item.snowball_shuriken 雪球手里剑
item.cobalt_shuriken 钴手里剑
item.glass_shard 玻璃碎片
item.palladium_ingot 钯锭
item.purple_fire_extinguisher 紫焰灭火器
item.purple_fire_extinguisher 熄灭魔法火焰。
item.purple_fire_lighter 紫焰打火器
item.purple_fire_lighter 重新点燃魔法火焰。
item.sand_dungeon_key 沙漠地牢钥匙
item.sand_dungeon_key.desc 解锁沙漠地牢门。
item.desert_glider 沙漠滑翔伞
item.desert_glider.desc 粉色让你飞得更快。
item.frozen_heart 冰冻之心
item.frozen_heart.desc 提供对冻结效果的免疫。
item.paint_roller_pixel 油漆滚筒（像素）
item.paint_roller_greyscale 油漆滚筒（灰度）
item.paint_roller_desert 油漆滚筒（沙漠）
item.spawn_mossy_stone_golem 生成苔石傀儡
item.spawn_iceflyer 生成冰飞兽
item.spawn_poison_bulb 生成毒球茎
item.spawn_mummy 生成木乃伊
item.spawn_sand_ghost 生成沙漠幽灵
item.spawn_tumbleweed 生成风滚草
item.spawn_sand_skeleton 生成沙漠骷髅
item.spawn_faceless_miner 生成无面矿工
item.thorns 荆棘
item.sand_key_part 沙漠钥匙碎片
item.sand_key_part.desc 3 个部件中的 1 个。
item.sakura_log 樱花木原木
item.palm_leaves 棕榈叶
item.sakura_leaves 樱花叶
item.yellow_snow 黄雪
item.yellow_snow.desc 别吃它！
item.thermal_vent 热气孔
item.thermal_vent.desc 可疑地温暖。
item.bone_block 骨块
item.quicksand 流沙
item.quicksand.desc 这让你有种下沉的感觉……
item.sandstone_grass 砂岩草
item.palm_sapling 棕榈树苗
item.ice_cap 冰盖菌
item.orange_fungi 橙色真菌
item.palladium_ore 钯矿石
item.palm_planks 棕榈木板
item.sakura_planks 樱花木板
item.palladium_plated_stone 镀钯石
item.iron_anvil 铁砧
item.sand_chest 沙箱
item.sand_dungeon_bricks 沙漠地牢砖
item.sand_dungeon_block 沙漠地牢方块
item.sand_dungeon_lock 沙漠地牢锁
item.sand_dungeon_summon 沙漠地牢召唤物
item.sand_dungeon_spawner 沙漠地牢刷怪笼
item.sand_dungeon_grate 沙漠地牢格栅
item.sand_dungeon_torch 沙漠地牢火把
item.sand_dungeon_bricks_unstable 不稳定的沙漠地牢砖
item.sand_dungeon_platform 沙漠地牢平台
item.logic_entwine 逻辑连接器
item.structure_replace 结构替换
item.fluid.spring_water 泉水
item.evil_flower 秘密邪恶花朵
item.evil_flower.desc 你为什么要种这个！？
item.lush_grass_seed 繁茂草种子
item.lush_grass_seed.desc 种在泥土上以长出草。
item.forest_grass_seed 森林草种子
item.forest_grass_seed.desc 种在泥土上以长出草。
item.dry_grass_seed 干草种子
item.dry_grass_seed.desc 种在泥土上以长出草。
item.gravel 砂砾
item.gold_flower 金花
item.gold_flower 见证你培育花朵的投入。
item.painting_sky 绘画（天空）
item.painting_alpha 绘画（Alpha）
item.painting_droplet 绘画（水滴）
item.painting_ornate 绘画（华饰）
item.painting_parthenon 绘画（帕特农神庙）
item.painting_horse 绘画（马）

item.bubble_mix 气泡混合物
item.bubble_machine 气泡机

guide.open_menu.name 开始
guide.open_menu.desc 欢迎来到冒险指南！随着你在游戏中不断推进，本指南会逐步揭示新的事情。别担心，遵循本指南完全是可选的；但如果你卡住了，先来这里看看！
guide.pickup_rocks.name 捡起石头
guide.pickup_rocks.desc 你会需要一些燧石来制作原始工具。下一步需要五块。
guide.chop_tree.name 徒手伐木
guide.chop_tree.desc 任何精彩冒险都无法避免的一步。英雄必须击败树木，才能开始旅程。
guide.make_workbench.name 制作工作台
guide.make_workbench.desc 用你现在拥有的原木，打开背包并通过制作菜单把它们制成木板。用 5 块木板即可制作一个工作台。
guide.pickaxe.name 燧石镐
guide.pickaxe.desc 你需要用燧石镐来挖掘石头和泥土方块。
guide.sword.name 燧石剑
guide.sword.desc 你会需要一把剑来抵御夜晚的生物。
guide.axe.name 燧石斧
guide.axe.desc 斧头砍伐木制材料比其他工具更快。
guide.make_housing.name 住房
guide.make_housing.desc 建议你开始建造房屋，好让居民搬进来。确保有一个封闭且照明良好的房间，并放置一块 NPC 房屋告示牌，以确保它是有效住房。
guide.decoration_station.name 家具陈设
guide.decoration_station.desc 你可以从商人那里购买装饰台。它能解锁许多实用和装饰性物品。在 NPC 房间里摆放家具会提高他们的幸福度。
guide.make_bed.name 床
guide.make_bed.desc 在床上睡觉需要一间舒适的房间。要快速度过夜晚，房间也应装饰得很好。获得床的唯一方式是从建筑师 NPC 处购买。你需要先造一间房，让他搬进来。
guide.make_chair.name 椅子
guide.make_chair.desc 椅子是简单的家具，可以为房间增添情趣。
guide.block_shaping.name 方块塑形
guide.block_shaping.desc 你可以使用锤子或形状选择菜单改变任意完整方块的形状。别忘了，常用操作列在屏幕右下角。
guide.block_painting.name 涂装
guide.block_painting.desc 你可以用油漆滚筒给游戏中的任意方块上色。油漆通常会给方块添加色调，这意味着白色色调不会产生效果。某些方块，如石砖，拥有自定义纹理，可以使用白色油漆。
guide.copper_ore.name 铜矿石
guide.copper_ore.desc 铜矿石是高于燧石的第一阶材料。
guide.coal_ore.name 煤矿床
guide.coal_ore.desc 你应尽快寻找煤。煤可以在地表裸露处或洞穴中找到。
guide.furnace.name 熔炉
guide.furnace.desc 你需要熔炉把矿石加工成锭。
guide.copper_ingot.name 铜
guide.copper_ingot.desc 铜能解锁许多新配方，包括护甲、弓和其他工具。
guide.make_torch.name 火把
guide.make_torch.desc 火把可以用木材和煤制作。一定要尽快弄到一些，因为夜晚会很黑。它们也可以被找到
guide.iron_ingot.name 铁
guide.iron_ingot.desc 高于铜的等级。
guide.silver_ingot.name 银
guide.silver_ingot.desc 高于铁的等级。
guide.gold_ingot.name 金
guide.gold_ingot.desc 高于银的等级。
guide.heart_beet.name 心甜菜
guide.heart_beet.desc 这种有用的植物在食用时有特殊效果。
guide.sneakers.name 运动鞋
guide.sneakers.desc 装备后，这个饰品让你可以潜行。
guide.iron_crossbow.name 铁弩
guide.iron_crossbow.desc 长按攻击键可让弩自动射出箭矢。
guide.iron_bow.name 铁弓
guide.iron_bow.desc 弓更适合远程战斗，且蓄力越久伤害越高。
guide.shuriken.name 手里剑
guide.shuriken.desc 手里剑是便宜实用的投掷星，能造成相当不错的伤害。它们在地下的箱子里很常见。
guide.potion_station.name 药水台
guide.potion_station.desc 用它制作药水。药水能在战斗中提供增益，非常有用。
guide.silver_armour.name 银护甲
guide.silver_armour.desc 装备一件银护甲。
guide.ominous_skull.name 不祥头骨
guide.ominous_skull.desc 这个头骨发出暗淡的光。准备面对你的恐惧吧。
guide.forest_key.name 森林钥匙
guide.forest_key.desc 这是通往森林中神秘地牢的钥匙。寻找一个巨大的树桩。
guide.spoon.name 果冻勺
guide.spoon.desc 这是一个饰品，装备后你可以穿过某些方块。它不是捡来的，而是由地牢内敌人掉落的勺子碎片组合制成。
guide.forest_pickaxe.name 森林镐
guide.forest_pickaxe.desc 有了这个工具，你现在可以前往更深处了。（试着向下挖！）
guide.forest_blessing.name 森林祝福
guide.forest_blessing.desc 这个物品会一次性提高你的耐力。
guide.forest_flower.name 森林之花
guide.forest_flower.desc 在灌丛中找到的有用材料。
guide.forest_ingot.name 森林锭
guide.forest_ingot.desc 由森林之花和荆棘制成的合金。
guide.farming_node.name 耕作
guide.farming_node.desc 建立农场种植作物是个好主意。作物可用于制作药水，也有其他实用用途。
guide.watering_can.name 手动方式
guide.watering_can.desc 你可以用洒水壶手动浇灌作物。作物会保持湿润一段时间，且只会在水分充足时生长。
guide.sprinkler.name 自动方式
guide.sprinkler.desc 洒水器可自动浇灌作物。放置后，它会浇灌周围 5x5 区域内的所有东西。
guide.wheat.name 小麦
guide.wheat.desc 小麦是一种常见作物，可作为药水和面包的原料。
guide.arrowroot.name 箭根
guide.arrowroot.desc 箭根是一种只能通过变异获得的稀有作物。它是箭矢的替代品，你可以种植而非制作它。
guide.bomb_berry.name 炸弹莓
guide.bomb_berry.desc 炸弹莓是投掷时会爆炸的浆果。当你种植其他作物时，在农田中留出空位，它们有时会出现。
guide.fishing_rod.name 鱼竿
guide.fishing_rod.desc 钓鱼可以获得药水原料，而且你会记录钓到的鱼的图鉴。
guide.sprint_boots.name 请加入冲刺
guide.sprint_boots.desc 这些靴子让你可以冲刺！你的耐力有限，之后可以提高。
guide.rose.name 玫瑰之名
guide.rose.desc 你不仅能浇灌作物，浇灌草等其他方块也会让其他花朵和植物生长，其中一些稀有植物只能通过这种机制获得。
guide.to_the_snow.name 前往雪地！
guide.to_the_snow.desc 是时候在雪地生物群系继续你的冒险了。去探索并享受乐趣吧！
guide.ice_arrow.name 冰箭
guide.ice_arrow.desc 这些箭比普通箭更强，而且会造成冻结伤害。好冷！
guide.snowball.name 雪球
guide.snowball.desc 雪球本身没什么威力，但可作为其他武器的弹药。
guide.mint_crop.name 免费薄荷！
guide.mint_crop.desc 薄荷可以在雪地生物群系找到，并可作为药水原料。
guide.frost_algae.name 霜藻
guide.frost_algae.desc 霜藻看起来很漂亮，也可用于制作药水。
guide.cobalt_shuriken.name 钴手里剑
guide.cobalt_shuriken.desc 里面装着刀刃的雪球。多可怕啊！
guide.snow_cannon.name 雪球炮
guide.snow_cannon.desc 这门炮射出的雪球威力大到真的很痛！
guide.cobalt_ore.name 钴矿石
guide.cobalt_ore.desc 没有钴你很难有所作为，所以开始挖矿吧！
guide.ice_cap.name 冰盖菌
